layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strength,elongation,sensor1_raw_mean,sensor1_raw_max,sensor1_raw_min,sensor1_raw_std,sensor2_raw_mean,sensor2_raw_max,sensor2_raw_min,sensor2_raw_std,sensor3_raw_mean,sensor3_raw_max,sensor3_raw_min,sensor3_raw_std,sensor4_raw_mean,sensor4_raw_max,sensor4_raw_min,sensor4_raw_std,sensor5_raw_mean,sensor5_raw_max,sensor5_raw_min,sensor5_raw_std
0.06,10,79,grid,231,60,40,abs,25,74,29,2.2,528.2391913,529,528,0.321828217,536.9071561,538,536,0.110572724,541.8719324,543,541,0.119000558,550.9233887,551,550,0.116430892,546.5973379,547,546,0.12477531
0.19,8,56,honeycomb,215,70,60,pla,50,260,34,2.9,533.6658831,540,531,0.628207772,540.3176046,539,538,1.757553227,548.1966647,553,546,1.326442582,555.7899351,562,556,1.157195893,553.7512135,566,552,1.482000053
0.05,7,53,honeycomb,201,80,60,pla,50,148,19,0.7,528.6447314,530,528,0.166992863,537.0669416,538,536,0.296439126,542.8957531,543,541,0.258352869,551.7595249,552,550,0.353638868,547.7306864,547,546,0.234701823
0.14,9,78,honeycomb,204,75,40,pla,25,153,20,1.7,531.9136151,529,531,0.197268617,539.0801451,538,538,0.140124612,546.4123849,544,546,0.115916485,554.9078574,552,555,0.188259278,551.947526,548,551,0.125846761
0.17,5,40,grid,237,65,60,abs,0,140,19,1.6,528.6374879,544,530,1.625009148,537.4932896,539,538,0.631061353,544.5482899,553,545,0.262095082,555.3182887,564,554,0.613198497,548.894009,549,551,1.494733325
0.02,6,54,honeycomb,239,80,60,abs,100,64,5,0.8,528.3087314,529,528,3.62601382,536.960598,538,536,0.142435814,542.3061929,544,541,0.25241223,551.0294073,553,550,0.330697023,547.0804389,549,546,0.347340173
0.18,10,55,honeycomb,250,80,60,abs,100,290,24,1.8,530.7480109,535,530,0.378526811,538.9523984,539,538,0.179947316,546.0521411,547,544,0.128762963,553.7094313,555,555,0.356777419,551.376673,556,551,0.457521916
0.04,9,79,honeycomb,227,70,40,abs,25,101,31,1.2,529.0393748,529,528,0.267631725,537.1669386,538,536,0.119771566,542.7699318,543,542,0.121963112,551.1034847,551,550,0.209775296,548.0452596,548,546,0.113258233
0.12,6,70,honeycomb,200,60,40,pla,0,106,22,1.6,531.2380446,529,531,0.570645007,538.5118067,538,538,0.179435788,546.0500758,544,544,0.126595274,554.995203,552,554,0.411347281,551.3893101,547,551,0.400398237
0.03,10,54,grid,207,60,120,abs,50,34,28,2.9,528.3181154,529,528,0.990237075,536.9927853,538,536,0.120907784,542.6471173,544,543,0.322794255,552.0572356,552,551,0.31884691,547.1711023,547,547,0.270789474
0.03,8,71,honeycomb,205,75,40,abs,75,133,26,0.8,529.3471594,529,528,0.885518905,537.2701618,538,536,0.139284108,543.1945359,543,541,0.128810681,552.1641054,557,550,0.411733292,548.3420796,554,546,0.163573226
0.08,9,21,honeycomb,205,80,40,pla,100,96,14,1.7,529.3230689,530,529,0.2354997,538.0627918,538,538,0.129412407,544.9523463,546,544,0.199032257,554.5674896,559,554,0.260108191,549.7639529,551,550,0.171591955
0.13,8,29,grid,237,65,40,abs,25,28,33,2.6,528.2663141,529,528,0.691521711,536.9767317,538,538,0.293141636,542.3386453,543,542,0.269580149,551.16262,552,550,0.205902796,547.0753375,547,547,0.374430962
0.17,9,58,honeycomb,233,80,40,pla,75,248,22,1.0,533.5127985,549,533,0.946862535,540.2707015,539,538,0.749589179,548.3744438,556,547,0.603316271,556.8940391,563,556,0.936562125,553.9292939,563,552,1.743782383
0.06,10,75,honeycomb,207,60,40,abs,25,52,32,3.0,528.3617161,529,531,0.164289438,537.287998,538,536,0.111092834,543.488738,544,545,0.118869943,551.9294087,551,555,0.240816683,548.0626488,547,551,0.241626428
0.06,8,49,honeycomb,214,60,120,abs,25,146,20,1.6,529.5897665,529,529,0.879587059,537.59308,538,536,0.16625308,544.0614822,543,542,0.117335501,552.9135687,552,551,0.229564192,549.2354692,548,547,0.243374417
0.14,9,87,honeycomb,204,80,120,pla,100,193,24,2.2,529.4672143,531,529,0.275875188,537.5977922,538,539,0.574750895,544.3991817,544,543,0.439854862,553.4173677,555,552,0.137852821,548.9769322,549,548,0.676383502
0.11,10,65,honeycomb,209,70,60,pla,75,163,19,2.2,529.4990095,529,528,0.330426441,537.4438827,538,539,0.115591267,543.5418845,543,541,0.143103986,551.9853115,551,551,0.11498111,548.6331212,547,547,0.338442175
0.13,10,78,grid,215,70,120,pla,25,225,12,0.8,531.2270326,550,532,1.484125094,539.0261715,539,538,0.678566454,546.6444008,549,543,0.235780862,555.7006717,556,556,0.8057067,551.8965428,550,552,1.011170061
0.15,10,73,honeycomb,202,75,60,pla,75,69,27,2.9,531.3134252,529,532,0.151273392,539.1085423,538,539,0.132254243,546.7565735,548,545,0.268326999,554.2455111,553,555,0.405970793,551.930672,552,551,0.355549012
0.03,10,82,honeycomb,213,65,40,pla,25,36,28,1.5,528.4952343,529,528,0.394592263,536.9989913,538,536,0.109798431,542.3298296,543,541,0.118412212,550.7428916,551,550,0.230537923,547.2461665,547,546,0.127459571
0.03,10,61,honeycomb,210,70,40,abs,50,36,15,1.1,529.425795,529,528,2.057749818,537.4734381,538,536,0.148704539,543.7970259,543,543,0.150799379,552.1412964,553,551,0.567937715,548.8999549,551,547,0.394465705
0.06,9,41,grid,220,75,60,pla,100,61,11,1.4,528.2752241,529,528,0.262024757,536.9359644,538,536,0.124993752,542.0998945,543,541,0.133768754,550.7269287,551,550,0.114237346,546.8317724,547,546,0.124683364
0.06,7,60,honeycomb,243,75,40,abs,75,65,13,1.3,528.4496996,529,529,0.872577842,537.2020752,538,539,0.275861912,543.3434624,545,545,0.221961833,551.9337402,552,553,0.617255888,547.8664521,547,550,0.715243418
0.19,4,88,grid,220,70,60,pla,100,366,27,1.6,535.4225772,537,531,0.498908386,540.867762,539,538,0.497050042,548.6681764,550,547,0.235049615,556.7148943,564,556,0.350798538,554.4321563,567,552,1.618506856
0.16,6,66,honeycomb,223,80,120,pla,100,196,17,2.4,533.3303888,531,532,0.753843441,540.3347709,539,538,0.598354301,547.9507318,547,546,0.351813743,554.0036994,551,556,0.221851252,553.5538853,554,552,0.546374911
0.18,10,90,honeycomb,212,60,60,abs,0,265,36,3.0,530.3269585,533,529,0.557706134,538.7658294,539,538,0.210011537,546.3214587,556,546,0.198755641,554.9299428,568,555,0.908329805,550.9619823,566,552,0.763709953
0.18,10,89,honeycomb,203,65,40,pla,0,140,37,3.2,528.3879366,529,529,0.168074939,537.221664,538,538,0.591057336,543.3525557,545,545,0.655151706,550.9951683,551,552,0.526249299,547.7279229,547,548,0.21789506
0.2,10,64,honeycomb,201,60,60,pla,0,368,35,3.3,534.1976915,550,534,0.37022963,541.3323257,540,538,0.747745675,549.2848861,558,547,0.908220789,558.8747969,567,556,0.834851111,554.7662639,560,552,1.357635036
0.13,8,16,grid,221,60,40,abs,25,287,22,1.1,529.0066528,529,529,0.738569866,537.3386242,538,539,0.652293426,543.6163109,544,545,0.425537978,553.7826507,556,551,0.177424776,548.5243223,548,548,0.280984317
0.1,6,77,grid,233,65,120,abs,50,162,15,2.2,528.313975,532,529,1.513730842,537.1300703,538,538,0.633709778,543.4553312,549,546,1.223736993,552.4044323,557,554,0.889856956,547.5769842,548,551,2.852406807
0.03,6,34,grid,238,80,60,abs,100,122,14,0.5,532.7410961,529,530,0.924805058,538.318909,538,538,0.134454978,545.2276359,543,544,0.211260944,554.6178432,552,552,0.240509991,551.5608445,548,548,0.663112586
0.05,6,33,grid,215,70,60,pla,25,66,13,0.6,531.3178746,531,529,1.397582989,538.7107709,539,538,0.405033811,546.0942478,548,546,0.329144943,553.5501808,557,553,1.292639375,551.8115533,560,549,1.34176154
0.1,10,77,honeycomb,201,65,60,pla,25,97,34,1.5,528.4385943,539,528,0.310082323,537.057932,538,536,0.872496591,543.0712629,544,542,0.444849033,551.8773768,552,551,0.574035602,547.5487472,547,548,1.00204413
0.09,9,53,grid,228,65,40,abs,25,173,27,1.8,528.3187233,529,529,0.790748948,537.0058762,538,536,0.260686998,542.4870183,543,542,0.150098833,551.0888453,551,551,0.539860657,547.2331056,547,547,0.316068033
0.06,8,62,honeycomb,219,60,40,abs,25,87,35,2.0,528.3909762,529,528,0.474696704,537.0443227,538,536,0.183676374,542.7334488,543,542,0.145884098,552.1633478,552,551,0.245928983,547.5050151,547,547,0.124618129
0.03,8,55,honeycomb,209,75,60,abs,75,34,11,1.4,528.2357285,529,528,0.653397992,536.9091727,538,538,0.273574741,541.9757263,544,541,0.477818965,550.6112342,551,550,0.434593415,546.6234842,547,546,0.475095782
0.17,5,53,honeycomb,226,75,40,pla,75,175,12,2.3,528.420691,529,528,0.289599845,537.1535617,538,538,0.497092603,542.8061636,544,542,0.657270059,550.9186591,551,550,0.141595946,547.6174794,548,546,0.6934655
0.14,8,58,honeycomb,231,80,120,abs,75,225,19,1.2,528.7512341,544,529,0.43083903,537.5528285,538,538,0.778879079,544.2690715,547,544,0.36013785,553.2885354,559,552,0.544168751,548.8383682,552,549,0.33218122
0.08,10,76,honeycomb,206,65,60,pla,50,91,36,2.6,528.2726118,529,528,0.240336716,536.9667686,538,537,0.142428818,542.3670053,543,542,0.16103275,551.4759602,551,551,0.158669624,546.9985761,547,547,0.127784726
0.12,5,88,honeycomb,216,70,40,abs,50,172,34,2.3,528.4853699,529,529,0.356518832,537.2123782,538,538,0.298641051,543.0461563,543,543,0.123330281,551.1254152,551,551,0.125605727,547.9032581,547,547,0.126161574
0.12,10,43,grid,223,75,60,abs,75,206,25,1.5,530.5226399,531,529,0.616295363,538.1684705,538,536,0.724513469,545.250859,545,544,0.796122199,553.350069,555,552,0.467228228,550.6313718,554,549,0.50319875
0.16,8,78,honeycomb,214,75,40,pla,50,116,32,3.0,528.250842,529,528,0.462188723,536.9476824,538,538,0.366814626,542.2495644,543,541,0.282350818,550.917305,551,550,0.114499771,546.8270562,547,546,0.114018567
0.07,4,52,grid,206,60,60,abs,0,263,15,1.6,533.5677223,530,534,1.299775069,539.8787424,539,536,0.307179555,548.081887,549,547,0.358656453,556.8829586,552,556,0.740546057,553.7058539,548,552,0.665287344
0.03,9,35,honeycomb,243,70,60,abs,75,114,17,0.7,528.8503348,529,528,1.817062174,537.1390661,538,536,0.114388415,542.7690066,543,542,0.114003515,551.0067398,551,550,0.123105767,547.8651614,547,546,0.221245183
0.13,6,40,grid,232,75,120,abs,100,135,16,1.7,532.7730688,535,531,0.578932528,539.9438671,539,538,0.827348074,547.765737,550,546,0.995954761,557.0069519,564,556,1.061616708,553.4690508,560,552,1.691458262
0.1,6,82,grid,239,60,40,abs,0,64,34,3.2,528.5850286,529,529,0.512356638,537.3543718,538,538,0.182042688,543.4883196,544,544,0.168281345,551.5035375,551,552,0.386697396,548.3172646,547,548,0.137793376
0.07,9,44,honeycomb,220,65,40,abs,75,59,19,2.2,528.2463055,529,528,0.558679617,536.9350929,538,539,0.40888146,542.2376298,543,541,0.325787743,551.0627963,551,550,0.144393291,546.8324671,547,547,0.707641093
0.12,9,72,grid,218,65,120,abs,50,216,26,1.7,529.3475272,530,529,0.915821222,537.7076658,538,536,0.492525871,544.6343153,545,544,0.415641532,553.0230104,555,553,0.237917112,549.4707005,551,549,0.634351107
0.06,8,43,grid,207,65,120,pla,50,83,17,2.4,530.1708055,529,529,1.238807889,537.833116,538,536,0.272441602,544.6763439,544,542,0.92470636,553.0703209,558,551,0.33813295,549.8731021,557,547,0.900691083
0.06,8,85,honeycomb,209,80,40,pla,50,184,11,1.9,528.9530725,529,528,0.961324661,537.40927,538,539,0.169195983,543.8359959,544,543,0.371110808,552.9446513,556,552,0.501831502,548.463852,549,548,0.218519048
0.16,5,44,grid,237,75,60,abs,75,167,21,2.4,529.3309318,529,530,0.221433347,537.856795,538,538,0.43311721,544.8317838,544,544,0.474076265,552.6143684,551,554,0.143728211,549.7218173,548,550,0.229516041
0.11,9,85,honeycomb,224,70,120,pla,0,169,10,1.2,529.9331933,541,531,0.625693142,538.3613046,539,538,0.198481177,545.9082457,550,547,0.382796227,554.5451634,554,556,1.336939884,550.6510877,549,552,1.021405206
0.15,3,46,honeycomb,201,70,40,pla,25,176,26,2.4,528.8875834,529,529,0.154634922,537.5489321,538,538,0.609369765,544.23529,544,545,0.332851505,551.9157166,551,554,0.342132681,548.6451345,547,550,0.242585904
0.15,6,20,grid,233,70,60,abs,0,261,28,1.4,533.8892385,540,531,3.757942577,539.6028405,540,538,1.937447381,547.7389348,552,547,1.766109833,556.666005,566,556,2.260851482,553.3163162,565,552,1.595505465
0.06,6,17,grid,210,80,40,abs,75,96,17,0.9,528.2572983,529,528,0.17259669,536.9307623,538,538,0.14390137,542.1471212,543,542,0.122725141,550.8530111,551,550,0.114928327,546.8424717,547,547,0.124243066
0.06,2,25,honeycomb,201,75,60,pla,50,66,23,2.4,529.0556365,529,530,0.415267567,537.5036863,538,539,0.26806741,544.4946891,544,545,0.682502497,555.0248685,556,553,0.1849634,549.063043,547,550,0.251072394
0.04,8,82,grid,231,75,60,abs,75,35,19,1.4,528.5901611,529,528,1.877890474,537.0435057,538,536,0.114901219,542.4753553,543,541,0.114391308,551.1631947,551,550,0.150162286,547.417927,547,546,0.246267526
0.02,9,36,grid,207,75,120,pla,100,44,8,0.5,529.2604108,529,528,1.09097483,537.1370775,538,536,0.417470827,542.9849024,543,541,0.485234074,551.0718875,553,550,0.432211032,548.1477687,556,546,0.698727364
0.08,10,90,honeycomb,207,70,40,pla,25,64,29,2.8,528.2356441,529,528,0.257716251,536.9113758,538,536,0.168597477,541.9887778,543,542,0.266413182,550.5581454,551,551,0.403994007,546.6128035,547,547,0.492549731
0.19,8,84,grid,211,70,40,pla,25,263,34,2.6,528.6962115,529,532,0.221539702,537.8184629,538,538,0.201104982,544.8544949,545,547,0.127109595,553.6896463,552,556,0.190468239,549.1315768,547,552,0.634095625
0.19,9,49,grid,225,80,40,pla,100,221,25,2.7,533.3770172,529,534,0.171322567,540.6810047,539,538,0.124917187,548.3417183,548,547,0.117647787,557.8635991,557,556,0.153362609,553.9298724,551,552,0.149972467
0.19,2,20,honeycomb,243,70,40,abs,50,333,19,3.0,529.1478157,539,531,1.145669744,538.1904149,539,538,0.644853897,545.7771578,554,546,0.998681211,553.2711444,557,555,0.40969297,549.9916445,556,552,1.353532308
0.13,7,87,grid,229,75,40,abs,75,310,13,1.4,528.821986,529,529,0.310168081,537.2592523,538,536,0.14799699,543.4487262,543,542,0.304787847,552.005698,551,551,0.250124755,548.2329632,547,548,0.165309651
0.15,5,78,grid,242,80,40,abs,100,332,9,0.5,529.099616,531,531,0.40814922,537.5419495,538,538,0.630150447,544.6888573,547,544,0.391964464,551.5451421,551,555,0.364809633,549.1106097,547,551,0.92558167
0.1,9,43,honeycomb,221,75,60,abs,100,235,19,1.9,532.4663267,530,528,1.062168403,538.874979,538,537,0.234825022,545.854137,544,542,0.257273802,554.2341918,563,551,0.119488473,551.4350984,565,547,0.220610615
0.03,8,89,honeycomb,228,70,40,abs,25,32,11,0.8,528.2359801,529,528,0.403774707,536.9063197,538,536,0.115146156,541.8687624,543,541,0.129674103,550.5669938,551,550,0.248629871,546.5751279,547,546,0.573533489
0.19,8,47,honeycomb,226,75,60,abs,75,345,10,1.2,534.7054799,536,531,0.643760454,540.5235291,539,538,0.301908431,548.1433963,549,546,0.345872359,557.8627971,566,556,0.293159978,554.009123,563,552,0.713315798
0.03,10,90,grid,205,60,40,abs,0,26,29,2.4,528.2345083,529,528,0.163281872,536.9036967,538,536,0.120387947,541.8130972,543,541,0.114494366,550.5352677,551,550,0.147183465,546.5090484,547,546,0.236138579
0.18,9,81,honeycomb,224,60,40,abs,25,176,37,2.9,528.2706483,529,528,0.230421822,537.0165182,538,539,0.308961423,542.4100178,543,542,0.219313834,550.6262894,551,550,0.207614775,547.1725198,547,546,0.316310275
0.11,8,55,honeycomb,206,65,40,pla,25,202,21,0.6,531.1760898,529,530,0.676621635,538.1337628,538,539,0.809042387,545.4282561,544,547,0.408432048,553.1673837,552,553,0.427443916,550.7856445,549,549,1.164502794
0.15,10,88,honeycomb,202,65,60,pla,75,202,23,3.1,528.4586116,529,531,0.14198416,537.2509423,538,538,0.268687795,543.5616302,543,542,0.251228503,552.3148516,551,554,0.112981557,547.8785999,547,550,0.120557161
0.03,10,26,honeycomb,216,75,60,abs,100,80,10,0.5,529.7208956,530,528,0.867469918,537.3326023,538,536,0.127397877,543.6112306,544,541,0.127530369,552.9158083,558,550,0.645134925,548.8213636,553,546,0.740380429
0.19,5,52,grid,250,80,40,abs,75,358,29,1.0,533.1466675,535,531,0.210624691,539.8432456,538,538,0.411974675,547.3648239,546,546,0.123565943,556.2888546,557,556,0.269838896,553.2039725,554,552,0.348781885
0.12,7,77,grid,223,65,60,pla,50,291,29,1.9,528.5881335,529,529,0.165046219,537.3191603,538,539,0.238351669,543.4689414,544,543,0.397695111,551.5658076,552,552,0.395489812,548.282093,548,548,0.528138751
0.12,10,63,honeycomb,204,60,40,pla,0,150,35,2.5,528.684945,529,528,0.159837133,537.2321359,538,536,0.117341179,543.1299596,543,543,0.120148755,552.7161421,553,551,0.400129364,547.9237797,547,547,0.185279657
0.03,10,24,honeycomb,209,75,40,pla,75,25,15,1.4,528.241398,529,528,0.335793862,536.9162256,538,536,0.170477165,542.0011833,543,541,0.230414269,550.5776202,551,550,0.186031635,546.6837669,547,546,0.439452596
0.19,5,51,grid,234,70,120,abs,75,368,16,1.4,529.2272669,530,530,0.243244138,537.7978384,538,538,0.319664964,544.652486,545,544,0.170186712,552.6143648,551,553,0.122537612,549.4394887,548,549,0.263285707
0.03,5,88,honeycomb,216,75,60,pla,50,32,6,1.3,528.4682883,529,529,0.313244581,537.1685774,538,539,0.213417772,543.1621969,543,542,0.482146488,551.0452589,551,551,1.114221191,547.9646311,547,548,0.528201365
0.12,9,69,honeycomb,250,70,60,abs,100,100,30,2.9,528.4634401,535,528,1.05186176,537.3572009,538,538,0.480944707,543.6499931,548,541,0.755411382,553.0134997,561,551,0.819096037,548.323111,553,547,0.59734417
0.17,2,19,grid,231,70,120,abs,50,268,23,1.0,538.0874434,547,534,1.072075975,541.4190519,540,538,0.235504422,549.3140627,554,547,0.124624519,559.4985858,570,556,0.783976111,555.524095,569,552,0.729516015
0.14,10,43,grid,200,60,120,pla,25,235,33,3.0,528.755155,529,530,0.34251712,537.5992316,538,536,0.505051779,544.2541772,546,546,1.224201743,554.1608203,556,554,0.237643581,548.957916,548,550,0.772778071
0.05,9,80,grid,202,60,60,pla,75,55,34,2.7,528.4037263,529,528,0.46299053,536.9586631,538,536,0.127352148,542.2952978,543,541,0.2327129,550.7557439,551,550,0.128419938,547.0573555,547,546,0.109935653
0.1,10,80,honeycomb,206,65,40,pla,100,173,28,2.5,529.7285272,529,528,0.18780291,537.7163256,538,536,0.130468205,544.0647461,543,542,0.269209437,551.9243309,551,551,0.168553591,549.2581833,549,547,0.380657332
0.06,9,90,grid,209,80,60,pla,75,146,25,0.6,528.2398628,529,528,0.312343825,536.9095513,538,538,0.581801399,542.0291047,543,542,0.410049967,550.6146419,551,551,0.475263239,546.6333526,547,547,0.691040747
0.2,9,65,grid,234,60,40,abs,50,368,35,2.1,530.370614,535,533,0.669405552,538.8867328,540,538,0.944845753,546.8108133,554,547,0.506346701,556.7446012,563,556,0.2446381,551.4590862,551,552,0.727621283
0.1,4,23,honeycomb,249,80,120,abs,100,55,10,1.9,528.4420247,529,529,0.654838135,537.1801976,538,539,0.154178206,543.0539427,543,543,0.261625263,552.1404596,551,551,0.136727393,547.8281349,547,548,0.150644298
0.12,4,41,grid,250,65,40,abs,50,277,16,2.3,528.3591069,529,530,0.702358184,537.0194866,538,538,0.197171895,542.9556004,544,545,0.253863542,551.4425073,551,552,0.121139016,547.3919742,547,548,0.195803397
0.19,10,88,honeycomb,225,60,60,pla,75,131,34,3.2,534.391743,545,531,0.741880973,540.2464959,539,538,0.398716219,548.0892213,551,544,0.984900886,555.6024613,560,555,0.300333925,553.7568324,565,551,1.960018423
0.11,7,40,honeycomb,202,70,40,pla,0,51,31,3.1,529.7039747,529,530,0.233600887,538.355708,538,538,0.224951448,545.21563,544,544,0.164431496,555.5824816,555,554,0.338642383,550.3682932,547,550,0.11086875
0.19,7,69,honeycomb,215,70,60,pla,25,302,34,3.0,533.4733579,531,532,0.333889942,540.1394799,539,538,0.543414892,547.8133967,547,547,0.615192662,557.3560604,559,556,0.445595667,553.54915,554,552,0.33667777
0.05,10,84,honeycomb,211,60,40,abs,0,40,34,2.5,528.7536927,529,529,1.403165306,537.2044889,538,536,0.225548956,543.3557012,544,544,0.371919745,551.9535659,552,551,0.969052991,548.2294245,547,548,0.266636931
0.13,5,68,honeycomb,226,80,60,pla,100,320,5,0.6,533.7404153,530,532,0.447211271,539.8387795,539,538,0.158401616,547.8082427,549,546,0.166049347,555.4962376,554,556,0.166275624,553.2505163,554,552,0.170612093
0.17,6,57,grid,210,75,40,abs,75,106,22,2.7,533.1042355,539,531,0.88899003,539.536099,539,538,0.83518929,547.1663494,546,544,1.198830429,556.0902382,559,555,0.749902565,552.9016765,556,551,0.878460916
0.13,8,28,honeycomb,227,75,60,abs,50,303,21,2.5,528.3023574,529,530,0.241988352,537.0819183,538,539,0.210552602,542.9976596,544,545,0.261854074,552.5651663,551,554,0.161621097,547.4042714,547,550,0.216195946
0.07,8,14,honeycomb,203,80,40,pla,50,116,8,1.5,530.9248987,529,529,0.255033814,538.4093923,538,536,0.271719628,545.275056,544,543,0.549559793,553.5343261,555,552,0.449847068,550.7198343,554,548,0.379940398
0.16,10,75,honeycomb,206,60,40,pla,0,152,32,3.0,528.3560542,529,529,0.174316904,537.1400861,538,538,0.109857767,542.9253919,543,544,0.113876712,552.2584401,551,552,0.130367652,547.4113782,547,549,0.110507888
0.09,8,42,honeycomb,214,75,40,abs,75,86,21,1.5,528.3124464,529,528,0.932521504,537.0070433,538,536,0.397636121,542.4607311,544,541,0.22774108,550.8029416,551,550,0.313224162,547.1713166,549,546,0.799919821
0.07,9,10,honeycomb,206,60,40,pla,0,152,17,2.0,528.9856648,529,528,1.313148576,537.2861899,538,536,0.234920001,543.5031316,543,543,0.276239095,551.614128,551,551,0.141000004,548.2369677,548,548,0.210409432
0.15,6,38,grid,217,65,120,abs,0,298,15,1.3,529.3626868,540,530,1.469876374,537.7997994,538,538,0.953866116,544.94439,545,545,0.592653021,552.9231711,552,554,0.562614573,549.6229735,548,551,1.734148402
0.14,7,58,grid,250,75,60,abs,75,166,9,1.8,528.2528183,529,529,0.272363761,537.0391535,538,538,0.123886788,542.6090316,543,543,0.117017027,550.9522107,551,553,0.114948761,547.188158,547,549,0.220823017
0.12,6,10,honeycomb,213,80,60,pla,50,341,7,0.7,529.7951064,537,529,0.342168124,538.1265593,538,536,0.480703879,545.1895468,546,542,0.260687202,554.3286913,559,553,0.318957954,550.2268382,553,550,0.386333279
0.02,9,84,grid,217,80,120,pla,50,71,7,0.5,531.9322793,529,530,1.266670485,538.4128627,538,536,0.111507773,545.8598528,544,545,0.127221941,554.7844056,556,554,1.959656201,551.5420112,551,550,0.567591598
0.03,6,74,honeycomb,242,80,60,abs,75,80,10,0.8,528.2946421,529,528,0.896892784,536.924855,538,536,0.109706686,542.0130472,543,541,0.114503982,550.7278858,551,550,0.119547047,546.7898586,547,546,0.16887071
0.02,9,74,honeycomb,248,80,40,abs,100,35,7,0.8,528.2412794,529,529,1.022957239,536.9186354,538,539,0.14328734,542.1518426,543,542,0.260379741,550.9114666,551,552,0.524493793,546.7546027,547,548,0.332833908
0.06,6,59,honeycomb,250,80,40,abs,100,75,6,1.4,528.2349916,529,528,0.746726058,536.9073168,538,538,0.176366003,541.9533895,543,541,0.176473595,550.8769806,551,551,0.188797774,546.5765897,547,547,0.151481209
0.13,8,44,honeycomb,232,65,40,abs,25,52,30,2.7,528.4686072,529,528,0.606199203,537.2294136,538,538,0.186610459,542.9807585,543,542,0.144000963,551.6839204,552,551,0.14016242,547.88965,548,547,0.156269056
0.03,8,83,grid,219,60,60,pla,25,39,29,0.7,528.302874,529,528,0.614062661,536.9384066,538,539,0.211664429,542.2954569,543,541,0.255259978,550.8560857,551,550,0.315629375,547.0572479,547,547,0.357733507
0.03,7,85,honeycomb,213,60,60,pla,25,74,24,1.8,529.2293956,529,529,2.012751996,537.5780629,538,536,0.471576562,544.4058442,546,543,0.651574057,552.59723,554,552,1.119138221,549.4341846,552,548,1.154593137
0.03,7,85,honeycomb,226,65,60,abs,75,230,27,2.0,528.4564959,529,528,0.441126854,537.1009562,538,536,0.110461507,542.6004397,543,542,0.13624743,551.4093465,552,550,0.181368294,547.5948867,548,547,0.115026632
0.06,4,42,grid,250,70,40,abs,50,304,14,0.5,530.660931,529,530,1.486252603,537.9943633,538,536,0.197482573,544.8494391,544,545,0.19601128,552.535849,551,553,0.29261963,550.6750463,548,549,0.406707474
0.13,6,64,grid,210,60,60,pla,0,236,26,2.6,529.777812,529,529,0.177161176,537.9121163,538,539,0.135274926,544.5570522,543,544,0.182904256,554.4760619,555,552,0.182534254,549.7379561,548,548,0.217111521
0.07,5,84,grid,216,70,40,pla,25,222,13,1.1,529.3946158,529,530,0.925929603,537.6520837,538,539,0.243596399,544.5547965,545,546,0.638056652,552.3126198,551,554,0.441268867,549.3767003,548,551,0.811591365
0.19,8,47,grid,209,75,60,abs,75,324,21,1.7,532.6223467,532,533,0.173146814,539.925796,539,538,0.71951171,547.9238424,551,547,0.36683484,558.4103445,566,556,0.452390288,553.0706188,552,552,0.638280938
0.17,8,14,honeycomb,244,75,60,abs,50,113,17,1.9,534.1359152,541,533,0.866330247,540.2749965,539,538,0.264542272,548.0971474,549,547,0.434351746,557.899317,561,556,0.212713613,553.9483609,554,552,1.172753555
0.1,10,80,grid,201,60,40,pla,0,195,11,2.0,528.3286397,529,528,0.163993226,536.9502664,538,536,0.124354628,542.2988623,543,542,0.335821426,550.6647836,551,550,0.122718588,546.9004911,547,547,0.148054828
0.08,9,33,grid,216,80,60,pla,100,150,10,2.0,528.6534745,529,530,0.212536397,537.3109612,538,538,0.157052359,543.5487674,543,544,0.241897455,551.6460755,551,553,0.120763657,548.2171299,547,550,0.258957603
0.08,10,83,grid,246,80,60,abs,100,160,18,0.6,528.7621804,530,529,1.079608607,537.4490818,539,538,0.257697933,543.9140689,547,545,0.23760172,554.259469,563,553,0.585292271,548.7212889,551,550,0.985895456
0.15,5,82,honeycomb,238,75,60,pla,100,289,22,1.2,528.4461168,529,528,0.419358798,537.1137099,538,536,0.384150755,542.7869624,543,544,0.245142417,550.9806356,551,551,0.112852971,547.5977727,547,547,0.345829389
0.02,4,34,honeycomb,221,65,40,abs,0,52,6,1.2,528.5565347,529,528,0.550827332,537.0147274,538,536,0.11354632,542.441707,543,541,0.117976523,550.604012,551,550,0.291825927,547.2154139,547,546,0.380721647
0.11,9,59,honeycomb,239,80,40,abs,100,130,15,1.3,528.2386806,529,528,0.352535286,536.9128212,538,537,0.191832412,541.9751967,543,541,0.128213579,550.803986,551,550,0.118242414,546.6243527,547,546,0.163010296
0.04,9,86,grid,203,60,40,pla,0,27,19,2.4,528.2346489,529,528,0.328362156,536.9040014,538,539,0.116112547,541.8314899,543,541,0.115004204,550.5418213,551,550,0.144157296,546.521681,547,546,0.136741204
0.15,8,83,grid,208,80,120,pla,50,360,14,1.0,531.5609697,546,532,0.810351208,539.4114133,540,538,1.022588458,547.6032551,553,547,0.619773986,555.504479,556,556,1.502123665,552.4217362,552,552,2.582627487
